root_bw,root_ar,sura,sura_name,sura_type,count
jrm,ج-ر-م,25,الفرقان,meccan,2
jrm,ج-ر-م,26,الشعراء,meccan,2
jrm,ج-ر-م,27,النمل,meccan,1
jrm,ج-ر-م,28,القصص,meccan,2
jrm,ج-ر-م,30,الروم,meccan,3
jrm,ج-ر-م,32,السجدة,meccan,2
jrm,ج-ر-م,34,سبإ,meccan,2
jrm,ج-ر-م,36,يس,meccan,1
jrm,ج-ر-م,37,الصافات,meccan,1
jrm,ج-ر-م,40,غافر,meccan,1
jrm,ج-ر-م,43,الزخرف,meccan,1
jrm,ج-ر-م,44,الدخان,meccan,2
jrm,ج-ر-م,45,الجاثية,meccan,1
jrm,ج-ر-م,46,الأحقاف,meccan,1
jrm,ج-ر-م,51,الذاريات,meccan,1
jrm,ج-ر-م,54,القمر,meccan,1
jrm,ج-ر-م,55,الرحمن,medinan,2
jrm,ج-ر-م,68,القلم,meccan,1
jrm,ج-ر-م,70,المعارج,meccan,1
jrm,ج-ر-م,74,المدثر,meccan,1
jrm,ج-ر-م,77,المرسلات,meccan,2
jrm,ج-ر-م,83,المطففين,meccan,1
fsq,ف-س-ق,2,البقرة,medinan,5
fsq,ف-س-ق,3,آل عمران,medinan,2
fsq,ف-س-ق,5,المائدة,medinan,8
fsq,ف-س-ق,6,الأنعام,meccan,3
fsq,ف-س-ق,7,الأعراف,meccan,4
fsq,ف-س-ق,9,التوبة,medinan,7
fsq,ف-س-ق,10,يونس,meccan,1
fsq,ف-س-ق,17,الإسراء,meccan,1
fsq,ف-س-ق,18,الكهف,meccan,1
fsq,ف-س-ق,21,الأنبياء,meccan,1
fsq,ف-س-ق,24,النور,medinan,2
fsq,ف-س-ق,27,النمل,meccan,1
fsq,ف-س-ق,28,القصص,meccan,1
fsq,ف-س-ق,29,العنكبوت,meccan,1
fsq,ف-س-ق,32,السجدة,meccan,2
fsq,ف-س-ق,43,الزخرف,meccan,1
fsq,ف-س-ق,46,الأحقاف,meccan,2
fsq,ف-س-ق,49,الحجرات,medinan,3
fsq,ف-س-ق,51,الذاريات,meccan,1
fsq,ف-س-ق,57,الحديد,medinan,3
fsq,ف-س-ق,59,الحشر,medinan,2
fsq,ف-س-ق,61,الصف,medinan,1
fsq,ف-س-ق,63,المنافقون,medinan,1
Zlm,ظ-ل-م,2,البقرة,medinan,31
Zlm,ظ-ل-م,3,آل عمران,medinan,15
Zlm,ظ-ل-م,4,النساء,medinan,14
Zlm,ظ-ل-م,5,المائدة,medinan,7
Zlm,ظ-ل-م,6,الأنعام,meccan,24
Zlm,ظ-ل-م,7,الأعراف,meccan,17
Zlm,ظ-ل-م,8,الأنفال,medinan,4
Zlm,ظ-ل-م,9,التوبة,medinan,7
Zlm,ظ-ل-م,10,يونس,meccan,12
Zlm,ظ-ل-م,11,هود,meccan,14
Zlm,ظ-ل-م,12,يوسف,meccan,3
Zlm,ظ-ل-م,13,الرعد,medinan,2
Zlm,ظ-ل-م,14,ابراهيم,meccan,9
Zlm,ظ-ل-م,15,الحجر,meccan,1
Zlm,ظ-ل-م,16,النحل,meccan,10
Zlm,ظ-ل-م,17,الإسراء,meccan,6
Zlm,ظ-ل-م,18,الكهف,meccan,9
Zlm,ظ-ل-م,19,مريم,meccan,3
Zlm,ظ-ل-م,20,طه,meccan,2
Zlm,ظ-ل-م,21,الأنبياء,meccan,11
Zlm,ظ-ل-م,22,الحج,medinan,7
Zlm,ظ-ل-م,23,المؤمنون,meccan,6
Zlm,ظ-ل-م,24,النور,medinan,3
Zlm,ظ-ل-م,25,الفرقان,meccan,5
Zlm,ظ-ل-م,26,الشعراء,meccan,4
Zlm,ظ-ل-م,27,النمل,meccan,6
Zlm,ظ-ل-م,28,القصص,meccan,7
Zlm,ظ-ل-م,29,العنكبوت,meccan,7
Zlm,ظ-ل-م,30,الروم,meccan,4
Zlm,ظ-ل-م,31,لقمان,meccan,2
Zlm,ظ-ل-م,32,السجدة,meccan,1
Zlm,ظ-ل-م,33,الأحزاب,medinan,2
Zlm,ظ-ل-م,34,سبإ,meccan,3
Zlm,ظ-ل-م,35,فاطر,meccan,4
Zlm,ظ-ل-م,36,يس,meccan,2
Zlm,ظ-ل-م,37,الصافات,meccan,3
Zlm,ظ-ل-م,38,ص,meccan,1
Zlm,ظ-ل-م,39,الزمر,meccan,6
Zlm,ظ-ل-م,40,غافر,meccan,4
Zlm,ظ-ل-م,41,فصلت,meccan,1
Zlm,ظ-ل-م,42,الشورى,meccan,8
Zlm,ظ-ل-م,43,الزخرف,meccan,4
Zlm,ظ-ل-م,45,الجاثية,meccan,2
Zlm,ظ-ل-م,46,الأحقاف,meccan,3
Zlm,ظ-ل-م,49,الحجرات,medinan,1
Zlm,ظ-ل-م,50,ق,meccan,1
Zlm,ظ-ل-م,51,الذاريات,meccan,1
Zlm,ظ-ل-م,52,الطور,meccan,1
Zlm,ظ-ل-م,53,النجم,meccan,1
Zlm,ظ-ل-م,57,الحديد,medinan,1
Zlm,ظ-ل-م,59,الحشر,medinan,1
Zlm,ظ-ل-م,60,الممتحنة,medinan,1
Zlm,ظ-ل-م,61,الصف,medinan,2
Zlm,ظ-ل-م,62,الجمعة,medinan,2
Zlm,ظ-ل-م,65,الطلاق,medinan,2
Zlm,ظ-ل-م,66,التحريم,medinan,1
Zlm,ظ-ل-م,68,القلم,meccan,1
Zlm,ظ-ل-م,71,نوح,meccan,2
Zlm,ظ-ل-م,76,الانسان,medinan,1
Edw,ع-د-و,2,البقرة,medinan,20
Edw,ع-د-و,3,آل عمران,medinan,2
Edw,ع-د-و,4,النساء,medinan,6
Edw,ع-د-و,5,المائدة,medinan,12
Edw,ع-د-و,6,الأنعام,meccan,5
Edw,ع-د-و,7,الأعراف,meccan,6
Edw,ع-د-و,8,الأنفال,medinan,4
Edw,ع-د-و,9,التوبة,medinan,4
Edw,ع-د-و,10,يونس,meccan,2
Edw,ع-د-و,12,يوسف,meccan,1
Edw,ع-د-و,16,النحل,meccan,1
Edw,ع-د-و,17,الإسراء,meccan,1
Edw,ع-د-و,18,الكهف,meccan,2
Edw,ع-د-و,20,طه,meccan,5
Edw,ع-د-و,23,المؤمنون,meccan,1
Edw,ع-د-و,25,الفرقان,meccan,1
Edw,ع-د-و,26,الشعراء,meccan,2
Edw,ع-د-و,28,القصص,meccan,6
Edw,ع-د-و,35,فاطر,meccan,2
